date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc,ivt_rate,suspicious_click_pct,geo_anomaly_score,new_domain_pct
2020-04-21,programmatic,2558.03,157621,2305,59,3738.9,43.36,1.46,0.0146,1.11,0.0307,0.0352,0.052,0.0522
2020-04-22,programmatic,2182.1,121955,1874,50,4106.04,43.64,1.88,0.0154,1.16,0.0316,0.0149,0.028,0.0374
2020-04-23,programmatic,2643.14,173872,2337,77,3804.31,34.33,1.44,0.0134,1.13,0.0475,0.027,0.126,0.0379
2020-04-24,programmatic,2001.89,140336,1907,59,2618.85,33.93,1.31,0.0136,1.05,0.0563,0.0187,0.152,0.0312
2020-04-25,programmatic,1737.72,128846,2141,42,2699.65,41.37,1.55,0.0166,0.81,0.0356,0.0391,0.077,0.0701
2020-04-26,programmatic,1757.88,122267,2075,42,2698.21,41.85,1.53,0.017,0.85,0.0303,0.0439,0.118,0.0335
2020-04-27,programmatic,2554.24,184951,3458,66,3894.54,38.7,1.52,0.0187,0.74,0.0329,0.0296,0.118,0.0515
2020-04-28,programmatic,2097.95,131526,1629,46,3990.08,45.61,1.9,0.0124,1.29,0.0496,0.0559,0.013,0.044
2020-04-29,programmatic,2676.49,131601,1717,70,3738.92,38.24,1.4,0.013,1.56,0.0457,0.0213,0.169,0.0837
2020-04-30,programmatic,2652.59,150270,1746,67,3241.61,39.59,1.22,0.0116,1.52,0.0501,0.0333,0.126,0.0553
2020-05-01,programmatic,2168.52,126880,1983,64,3146.07,33.88,1.45,0.0156,1.09,0.039,0.0323,0.133,0.0549
2020-05-02,programmatic,1689.28,117712,1816,38,2533.91,44.45,1.5,0.0154,0.93,0.0479,0.0293,0.093,0.0653
2020-05-03,programmatic,1476.07,86081,1268,33,2229.75,44.73,1.51,0.0147,1.16,0.0328,0.0253,0.0,0.092
2020-05-04,programmatic,2349.2,221274,3133,55,2812.2,42.71,1.2,0.0142,0.75,0.0487,0.0259,0.134,0.0486
2020-05-05,programmatic,2143.28,129347,2239,47,3360.86,45.6,1.57,0.0173,0.96,0.0468,0.039,0.118,0.0217
2020-05-06,programmatic,2638.41,172281,2451,73,4445.59,36.14,1.68,0.0142,1.08,0.0314,0.0272,0.047,0.0342
2020-05-07,programmatic,2091.38,141777,2389,55,3181.36,38.03,1.52,0.0169,0.88,0.0351,0.01,0.116,0.0391
2020-05-08,programmatic,2822.89,166018,2724,73,3685.67,38.67,1.31,0.0164,1.04,0.0372,0.0381,0.097,0.0335
2020-05-09,programmatic,1735.5,112390,1581,51,2397.0,34.03,1.38,0.0141,1.1,0.046,0.0425,0.051,0.0313
2020-05-10,programmatic,1396.53,75003,1171,28,1885.37,49.88,1.35,0.0156,1.19,0.0393,0.01,0.086,0.0687
2020-05-11,programmatic,2390.31,169517,2662,53,3338.46,45.1,1.4,0.0157,0.9,0.0381,0.0354,0.132,0.0666
2020-05-12,programmatic,1583.34,130057,2164,33,2402.56,47.98,1.52,0.0166,0.73,0.0278,0.0403,0.094,0.0686
2020-05-13,programmatic,2221.95,276930,4328,59,3648.15,37.66,1.64,0.0156,0.51,0.0452,0.0272,0.111,0.0262
2020-05-14,programmatic,2623.43,161248,2255,71,3430.74,36.95,1.31,0.014,1.16,0.037,0.0126,0.095,0.055
2020-05-15,programmatic,2932.78,177054,2172,77,4313.66,38.09,1.47,0.0123,1.35,0.0339,0.0227,0.168,0.0562
2020-05-16,programmatic,1660.16,143658,2061,37,2470.03,44.87,1.49,0.0143,0.81,0.0316,0.0332,0.026,0.0338
2020-05-17,programmatic,1173.19,89372,1434,30,1955.14,39.11,1.67,0.016,0.82,0.0417,0.0258,0.038,0.0415
2020-05-18,programmatic,1707.17,126237,1643,35,2850.45,48.78,1.67,0.013,1.04,0.0505,0.0448,0.19,0.034
2020-05-19,programmatic,2028.59,233997,3933,49,3373.34,41.4,1.66,0.0168,0.52,0.0243,0.0167,0.087,0.0342
2020-05-20,programmatic,2281.29,148016,2269,64,2549.66,35.65,1.12,0.0153,1.01,0.0334,0.0296,0.033,0.0124
2020-05-21,programmatic,1994.21,144491,2005,45,3599.72,44.32,1.81,0.0139,0.99,0.0336,0.0193,0.123,0.0194
2020-05-22,programmatic,2764.08,209745,3504,70,4419.48,39.49,1.6,0.0167,0.79,0.0564,0.0325,0.05,0.0516
2020-05-23,programmatic,1341.21,92802,1303,33,2071.36,40.64,1.54,0.014,1.03,0.0426,0.0247,0.112,0.0412
2020-05-24,programmatic,2093.2,223908,3855,48,2868.16,43.61,1.37,0.0172,0.54,0.0416,0.0417,0.044,0.0847
2020-05-25,programmatic,1894.48,119467,1489,47,2867.83,40.31,1.51,0.0125,1.27,0.037,0.0407,0.239,0.0795
2020-05-26,programmatic,2085.55,121645,1854,52,3110.97,40.11,1.49,0.0152,1.12,0.0471,0.0462,0.108,0.0726
2020-05-27,programmatic,2348.52,166184,2574,62,4124.15,37.88,1.76,0.0155,0.91,0.0203,0.025,0.114,0.0889
2020-05-28,programmatic,2239.92,179518,2915,53,3763.23,42.26,1.68,0.0162,0.77,0.0252,0.0351,0.082,0.0621
2020-05-29,programmatic,2446.47,212124,3073,60,3752.93,40.77,1.53,0.0145,0.8,0.031,0.0197,0.046,0.0263
2020-05-30,programmatic,1179.86,109211,1687,30,1758.6,39.33,1.49,0.0154,0.7,0.045,0.0391,0.148,0.0412
2020-05-31,programmatic,1952.54,145453,2262,47,2927.21,41.54,1.5,0.0156,0.86,0.0503,0.023,0.122,0.0646
2020-06-01,programmatic,1868.83,104507,1395,61,3246.04,30.64,1.74,0.0133,1.34,0.0417,0.0273,0.161,0.0641
2020-06-02,programmatic,1727.2,98987,1435,42,2607.49,41.12,1.51,0.0145,1.2,0.0248,0.0413,0.184,0.0468
2020-06-03,programmatic,2588.55,179068,2453,66,4353.82,39.22,1.68,0.0137,1.06,0.0411,0.0308,0.101,0.0711
2020-06-04,programmatic,2083.06,137426,1846,48,3235.14,43.4,1.55,0.0134,1.13,0.0329,0.0258,0.159,0.0201
2020-06-05,programmatic,2187.84,121641,1684,58,3058.99,37.72,1.4,0.0138,1.3,0.0467,0.0302,0.008,0.0487
2020-06-06,programmatic,1451.79,108851,1947,35,1978.16,41.48,1.36,0.0179,0.75,0.0495,0.0459,0.03,0.0262
2020-06-07,programmatic,1615.24,103550,1634,37,3032.26,43.66,1.88,0.0158,0.99,0.0522,0.0327,0.118,0.0551
2020-06-08,programmatic,2313.38,159941,2180,59,3513.76,39.21,1.52,0.0136,1.06,0.0427,0.01,0.055,0.0348
2020-06-09,programmatic,2486.7,175587,2360,75,3732.9,33.16,1.5,0.0134,1.05,0.0375,0.0275,0.151,0.0438
2020-06-10,programmatic,2417.74,140702,1704,67,3478.7,36.09,1.44,0.0121,1.42,0.0205,0.0398,0.158,0.071
2020-06-11,programmatic,2569.34,236545,3580,64,3734.88,40.15,1.45,0.0151,0.72,0.0325,0.0265,0.114,0.0477
2020-06-12,programmatic,2220.78,183931,2845,52,3174.75,42.71,1.43,0.0155,0.78,0.0245,0.0365,0.13,0.01
2020-06-13,programmatic,1516.11,87222,1503,36,2039.66,42.11,1.35,0.0172,1.01,0.0167,0.0364,0.079,0.0275
2020-06-14,programmatic,1618.96,101124,1514,35,2611.42,46.26,1.61,0.015,1.07,0.0424,0.0366,0.06,0.0568
2020-06-15,programmatic,2033.81,171427,2600,45,3354.54,45.2,1.65,0.0152,0.78,0.0354,0.0149,0.085,0.0945
2020-06-16,programmatic,1944.84,188644,2806,46,3135.79,42.28,1.61,0.0149,0.69,0.0463,0.0314,0.031,0.0536
2020-06-17,programmatic,2357.07,229262,3904,58,4166.22,40.64,1.77,0.017,0.6,0.0401,0.054,0.09,0.036
2020-06-18,programmatic,1922.91,131495,1990,61,2976.73,31.52,1.55,0.0151,0.97,0.0264,0.0305,0.025,0.0375
2020-06-19,programmatic,2390.82,137124,1642,56,3395.87,42.69,1.42,0.012,1.46,0.0483,0.0441,0.047,0.039
2020-06-20,programmatic,1639.95,108248,1567,36,2530.21,45.55,1.54,0.0145,1.05,0.0402,0.0457,0.01,0.0672
2020-06-21,programmatic,1750.74,130244,2251,45,2790.76,38.91,1.59,0.0173,0.78,0.0505,0.026,0.178,0.0303
2020-06-22,programmatic,2401.52,128608,1685,50,3462.56,48.03,1.44,0.0131,1.43,0.042,0.0451,0.134,0.0394
2020-06-23,programmatic,2460.58,143156,2306,62,3734.84,39.69,1.52,0.0161,1.07,0.0433,0.0362,0.157,0.0574
2020-06-24,programmatic,2500.15,174414,2447,60,3953.44,41.67,1.58,0.014,1.02,0.0373,0.0353,0.143,0.07
2020-06-25,programmatic,2277.06,129308,2059,72,3558.72,31.63,1.56,0.0159,1.11,0.0283,0.027,0.167,0.0552
2020-06-26,programmatic,2018.46,159762,2087,63,3226.37,32.04,1.6,0.0131,0.97,0.0588,0.0298,0.03,0.0466
2020-06-27,programmatic,1904.33,93661,1311,55,2807.49,34.62,1.47,0.014,1.45,0.0462,0.0375,0.1,0.0246
2020-06-28,programmatic,1401.11,139720,2106,33,2170.39,42.46,1.55,0.0151,0.67,0.0263,0.0133,0.051,0.0235
2020-06-29,programmatic,2617.35,158749,2510,57,3823.76,45.92,1.46,0.0158,1.04,0.0426,0.0489,0.073,0.0727
2020-06-30,programmatic,2561.44,199942,3233,64,4339.83,40.02,1.69,0.0162,0.79,0.0291,0.021,0.13,0.0386
2020-07-01,programmatic,2701.59,113198,1752,65,4300.49,41.56,1.59,0.0155,1.54,0.0264,0.0453,0.141,0.0823
2020-07-02,programmatic,3080.71,317420,5210,54,4415.6,57.05,1.43,0.0164,0.59,0.0376,0.0458,0.1,0.0473
2020-07-03,programmatic,3923.41,297825,4394,77,6069.08,50.95,1.55,0.0148,0.89,0.0389,0.0197,0.113,0.0699
2020-07-04,programmatic,2466.46,442202,6742,49,3712.93,50.34,1.51,0.0152,0.37,0.0328,0.0425,0.021,0.0158
2020-07-05,programmatic,1912.13,114631,1522,36,3171.5,53.11,1.66,0.0133,1.26,0.0405,0.038,0.072,0.0386
2020-07-06,programmatic,2785.99,154918,2407,56,4535.61,49.75,1.63,0.0155,1.16,0.0376,0.0185,0.096,0.0328
2020-07-07,programmatic,2724.7,197340,2816,48,4076.51,56.76,1.5,0.0143,0.97,0.0309,0.0435,0.023,0.0776
2020-07-08,programmatic,2458.96,190270,3027,44,3642.29,55.89,1.48,0.0159,0.81,0.0339,0.0325,0.034,0.0686
2020-07-09,programmatic,3563.83,164504,2492,86,6174.68,41.44,1.73,0.0151,1.43,0.0219,0.0355,0.148,0.0251
2020-07-10,programmatic,3302.86,245839,3901,53,4412.89,62.32,1.34,0.0159,0.85,0.0433,0.0395,0.096,0.0548
2020-07-11,programmatic,2803.82,148630,2227,55,3863.56,50.98,1.38,0.015,1.26,0.047,0.0237,0.109,0.0266
2020-07-12,programmatic,2393.27,152252,2393,43,4130.43,55.66,1.73,0.0157,1.0,0.0379,0.0351,0.208,0.0564
2020-07-13,programmatic,3692.23,265690,3618,75,5234.59,49.23,1.42,0.0136,1.02,0.0187,0.0288,0.109,0.0932
2020-07-14,programmatic,2671.44,168923,2512,43,3648.66,62.13,1.37,0.0149,1.06,0.043,0.0277,0.111,0.0858
2020-07-15,programmatic,3695.63,252919,3886,73,6312.32,50.63,1.71,0.0154,0.95,0.0269,0.0334,0.086,0.0275
2020-07-16,programmatic,3554.08,224217,2887,69,5612.01,51.51,1.58,0.0129,1.23,0.0369,0.0283,0.188,0.0299
2020-07-17,programmatic,3562.22,247647,3823,63,5274.1,56.54,1.48,0.0154,0.93,0.0392,0.0374,0.054,0.0418
2020-07-18,programmatic,3096.85,213940,3400,63,4934.42,49.16,1.59,0.0159,0.91,0.0383,0.0271,0.108,0.1
2020-07-19,programmatic,1939.09,136905,2001,32,3015.49,60.6,1.56,0.0146,0.97,0.0319,0.0274,0.058,0.0516
2020-07-20,programmatic,3331.7,234735,3554,55,5770.46,60.58,1.73,0.0151,0.94,0.0443,0.0244,0.119,0.0322
2020-07-21,programmatic,3268.53,209114,2851,81,4789.83,40.35,1.47,0.0136,1.15,0.037,0.0179,0.019,0.0327
2020-07-22,programmatic,4029.27,235976,3638,90,5430.3,44.77,1.35,0.0154,1.11,0.0277,0.0448,0.055,0.0659
2020-07-23,programmatic,2983.99,145224,1790,54,4585.09,55.26,1.54,0.0123,1.67,0.0328,0.0338,0.129,0.0641
2020-07-24,programmatic,2951.59,201003,2893,50,4640.1,59.03,1.57,0.0144,1.02,0.0249,0.0523,0.188,0.0268
2020-07-25,programmatic,2528.45,151495,2466,57,3248.64,44.36,1.28,0.0163,1.03,0.0406,0.0345,0.137,0.0472
2020-07-26,programmatic,2742.28,182940,2471,57,3920.51,48.11,1.43,0.0135,1.11,0.0245,0.0177,0.168,0.0183
2020-07-27,programmatic,3524.38,243500,3840,72,5251.37,48.95,1.49,0.0158,0.92,0.0446,0.037,0.039,0.0404
2020-07-28,programmatic,3343.74,164081,2015,56,4822.94,59.71,1.44,0.0123,1.66,0.0178,0.03,0.087,0.0152
2020-07-29,programmatic,3442.62,285078,3826,81,4635.2,42.5,1.35,0.0134,0.9,0.0363,0.038,0.11,0.0373
