date,channel,spend,impressions,clicks,conversions,revenue,cpa,roas,ctr,cpc,avg_order_value,unique_referral_domains,coupon_usage_rate,new_customer_pct
2020-01-25,affiliate,528.93,31478,401,32,2307.78,16.53,4.36,0.0127,1.32,40.51,3,0.081,0.5495
2020-01-26,affiliate,566.42,30208,530,45,3058.99,12.59,5.4,0.0175,1.07,55.88,7,0.1299,0.6456
2020-01-27,affiliate,756.82,49847,699,54,4167.81,14.02,5.51,0.014,1.08,53.6,3,0.0999,0.6071
2020-01-28,affiliate,728.28,61539,1044,48,4086.19,15.17,5.61,0.017,0.7,56.16,3,0.0717,0.7089
2020-01-29,affiliate,785.53,44852,616,46,3846.37,17.08,4.9,0.0137,1.28,48.88,6,0.1083,0.7812
2020-01-30,affiliate,858.92,43140,553,53,3496.02,16.21,4.07,0.0128,1.55,52.0,5,0.1347,0.6607
2020-01-31,affiliate,939.18,57704,835,65,5056.79,14.45,5.38,0.0145,1.12,51.49,6,0.0803,0.6902
2020-02-01,affiliate,558.45,34676,524,38,2658.05,14.7,4.76,0.0151,1.07,50.67,7,0.0842,0.4607
2020-02-02,affiliate,567.32,38445,533,43,2719.36,13.19,4.79,0.0139,1.06,33.25,7,0.1261,0.5937
2020-02-03,affiliate,908.17,56328,895,61,4987.25,14.89,5.49,0.0159,1.01,50.74,6,0.1221,0.7367
2020-02-04,affiliate,785.82,41464,676,46,4029.84,17.08,5.13,0.0163,1.16,49.19,4,0.0935,0.4078
2020-02-05,affiliate,833.39,58934,821,59,4209.61,14.13,5.05,0.0139,1.02,43.12,6,0.0839,0.6614
2020-02-06,affiliate,723.49,78424,1221,40,3127.6,18.09,4.32,0.0156,0.59,41.86,3,0.0528,0.5819
2020-02-07,affiliate,767.16,47293,729,52,3310.26,14.75,4.31,0.0154,1.05,51.61,7,0.1023,0.6554
2020-02-08,affiliate,737.53,72558,1001,46,3580.9,16.03,4.86,0.0138,0.74,50.48,7,0.1244,0.4976
2020-02-09,affiliate,563.36,29385,418,42,3181.52,13.41,5.65,0.0142,1.35,51.51,6,0.0544,0.8348
2020-02-10,affiliate,965.69,63175,761,62,4546.67,15.58,4.71,0.012,1.27,55.58,4,0.1143,0.6495
2020-02-11,affiliate,658.32,37160,498,42,3601.76,15.67,5.47,0.0134,1.32,56.83,6,0.0546,0.6543
2020-02-12,affiliate,975.74,66933,951,61,5102.27,16.0,5.23,0.0142,1.03,45.76,7,0.1405,0.6853
2020-02-13,affiliate,956.96,58762,922,59,4685.09,16.22,4.9,0.0157,1.04,48.59,5,0.0888,0.6574
2020-02-14,affiliate,848.96,48244,660,60,4274.68,14.15,5.04,0.0137,1.29,53.36,6,0.0964,0.5427
2020-02-15,affiliate,759.34,43644,625,54,4486.9,14.06,5.91,0.0143,1.21,58.47,4,0.0764,0.7246
2020-02-16,affiliate,515.75,36814,515,36,2500.01,14.33,4.85,0.014,1.0,56.61,3,0.0561,0.5586
2020-02-17,affiliate,867.5,47739,796,58,3995.54,14.96,4.61,0.0167,1.09,48.62,3,0.064,0.7737
2020-02-18,affiliate,865.31,65580,1026,52,4604.01,16.64,5.32,0.0156,0.84,49.9,7,0.0604,0.6198
2020-02-19,affiliate,749.57,45319,710,55,3976.14,13.63,5.3,0.0157,1.06,53.43,7,0.1169,0.6737
2020-02-20,affiliate,882.35,54724,881,70,3750.82,12.61,4.25,0.0161,1.0,46.65,7,0.103,0.529
2020-02-21,affiliate,772.05,41600,520,44,3613.38,17.55,4.68,0.0125,1.48,57.45,3,0.1062,0.5687
2020-02-22,affiliate,567.24,32452,499,36,2746.39,15.76,4.84,0.0154,1.14,54.44,3,0.1043,0.7446
2020-02-23,affiliate,788.99,55079,792,55,3513.53,14.35,4.45,0.0144,1.0,46.72,5,0.1382,0.7035
2020-02-24,affiliate,778.06,41213,526,56,3332.91,13.89,4.28,0.0128,1.48,52.35,4,0.0777,0.5757
2020-02-25,affiliate,854.48,57495,738,56,4425.61,15.26,5.18,0.0128,1.16,56.85,5,0.1211,0.6703
2020-02-26,affiliate,762.77,66882,1066,51,3811.04,14.96,5.0,0.0159,0.72,53.85,5,0.0671,0.7043
2020-02-27,affiliate,748.72,45102,686,42,3022.27,17.83,4.04,0.0152,1.09,49.49,4,0.1001,0.5673
2020-02-28,affiliate,843.23,60084,802,52,3909.65,16.22,4.64,0.0133,1.05,47.41,4,0.0894,0.5442
2020-02-29,affiliate,780.03,41223,512,54,3675.12,14.44,4.71,0.0124,1.52,45.75,5,0.0703,0.494
2020-03-01,affiliate,954.53,57657,696,64,5256.59,14.91,5.51,0.0121,1.37,57.0,5,0.1735,0.6506
2020-03-02,affiliate,1122.41,55866,790,83,5474.66,13.52,4.88,0.0141,1.42,37.96,4,0.1197,0.6657
2020-03-03,affiliate,1191.64,81365,1274,87,6835.54,13.7,5.74,0.0157,0.94,39.81,7,0.0532,0.3921
2020-03-04,affiliate,1006.07,74706,1039,66,4348.6,15.24,4.32,0.0139,0.97,55.91,6,0.0629,0.6692
2020-03-05,affiliate,820.61,66581,1165,54,4678.55,15.2,5.7,0.0175,0.7,46.84,5,0.1297,0.6591
2020-03-06,affiliate,1000.03,45997,715,69,4865.48,14.49,4.87,0.0155,1.4,42.59,6,0.1434,0.5949
2020-03-07,affiliate,809.49,44214,608,50,3513.86,16.19,4.34,0.0138,1.33,52.22,6,0.0888,0.7061
2020-03-08,affiliate,657.28,43803,636,45,3206.99,14.61,4.88,0.0145,1.03,50.58,4,0.1054,0.5122
2020-03-09,affiliate,937.95,96647,1453,66,4706.53,14.21,5.02,0.015,0.65,48.16,3,0.1505,0.4692
2020-03-10,affiliate,1217.81,63632,1014,78,6539.93,15.61,5.37,0.0159,1.2,47.01,5,0.0477,0.6072
2020-03-11,affiliate,933.98,82638,1552,65,4722.73,14.37,5.06,0.0188,0.6,51.17,5,0.0793,0.6669
2020-03-12,affiliate,1024.15,67328,1005,59,5036.52,17.36,4.92,0.0149,1.02,56.73,5,0.1028,0.6903
2020-03-13,affiliate,1219.61,85468,1336,65,5206.84,18.76,4.27,0.0156,0.91,48.34,6,0.1288,0.6336
2020-03-14,affiliate,566.89,41933,630,40,2954.51,14.17,5.21,0.015,0.9,46.56,3,0.0983,0.64
2020-03-15,affiliate,825.9,68593,798,58,3734.15,14.24,4.52,0.0116,1.03,55.27,3,0.1055,0.5504
2020-03-16,affiliate,1107.61,65404,988,75,6208.35,14.77,5.61,0.0151,1.12,39.43,3,0.106,0.694
2020-03-17,affiliate,1079.98,75119,1045,87,5594.14,12.41,5.18,0.0139,1.03,50.14,7,0.1051,0.5974
2020-03-18,affiliate,959.91,67245,1066,60,4526.42,16.0,4.72,0.0159,0.9,50.27,7,0.0799,0.5982
2020-03-19,affiliate,986.37,53855,821,64,4879.9,15.41,4.95,0.0152,1.2,56.67,7,0.0618,0.3761
2020-03-20,affiliate,773.73,57500,843,47,3617.55,16.46,4.68,0.0147,0.92,58.44,3,0.0811,0.5728
2020-03-21,affiliate,1024.06,67467,1086,64,6103.58,16.0,5.96,0.0161,0.94,53.22,3,0.1012,0.5664
2020-03-22,affiliate,977.02,89700,1209,60,5086.58,16.28,5.21,0.0135,0.81,58.39,3,0.1057,0.608
2020-03-23,affiliate,1072.85,63021,865,64,5291.55,16.76,4.93,0.0137,1.24,58.07,7,0.0896,0.4651
2020-03-24,affiliate,929.32,67051,952,59,4673.64,15.75,5.03,0.0142,0.98,47.79,4,0.0411,0.4741
2020-03-25,affiliate,796.33,56581,834,53,3401.26,15.03,4.27,0.0147,0.95,50.37,6,0.0321,0.5703
2020-03-26,affiliate,1248.37,80438,1079,93,6540.94,13.42,5.24,0.0134,1.16,44.16,3,0.03,0.6932
2020-03-27,affiliate,1037.94,72342,1181,79,5221.59,13.14,5.03,0.0163,0.88,44.2,7,0.1107,0.6523
2020-03-28,affiliate,688.82,40839,621,59,3245.08,11.67,4.71,0.0152,1.11,47.26,5,0.154,0.5133
2020-03-29,affiliate,705.37,40649,611,41,3428.18,17.2,4.86,0.015,1.15,51.27,3,0.1239,0.4935
2020-03-30,affiliate,1133.11,89519,1419,70,6424.79,16.19,5.67,0.0159,0.8,51.4,3,0.0351,0.5791
2020-03-31,affiliate,839.44,40395,626,52,3489.22,16.14,4.16,0.0155,1.34,45.38,3,0.084,0.6897
2020-04-01,affiliate,1064.77,56824,832,84,5862.57,12.68,5.51,0.0146,1.28,47.99,6,0.1231,0.6111
2020-04-02,affiliate,962.89,65475,998,66,5646.02,14.59,5.86,0.0152,0.96,50.68,6,0.1442,0.8326
2020-04-03,affiliate,1177.46,83189,1266,103,5839.14,11.43,4.96,0.0152,0.93,48.11,5,0.0955,0.5542
2020-04-04,affiliate,866.77,59510,894,52,4231.78,16.67,4.88,0.015,0.97,47.99,4,0.121,0.523
2020-04-05,affiliate,861.32,53411,785,51,3701.46,16.89,4.3,0.0147,1.1,53.22,7,0.0933,0.7244
2020-04-06,affiliate,1348.59,102018,1621,101,5960.85,13.35,4.42,0.0159,0.83,47.49,4,0.1617,0.7146
2020-04-07,affiliate,1125.36,82174,1337,79,6198.84,14.25,5.51,0.0163,0.84,46.89,7,0.0678,0.3922
2020-04-08,affiliate,816.53,55105,757,60,3913.27,13.61,4.79,0.0137,1.08,52.08,3,0.1239,0.5054
2020-04-09,affiliate,900.2,71053,922,57,4869.2,15.79,5.41,0.013,0.98,51.39,5,0.0534,0.511
2020-04-10,affiliate,1047.91,52335,716,66,4689.55,15.88,4.48,0.0137,1.46,51.3,4,0.0931,0.4999
2020-04-11,affiliate,744.14,36398,494,50,3418.12,14.88,4.59,0.0136,1.51,55.85,5,0.11,0.5693
2020-04-12,affiliate,977.07,74849,1199,67,4739.28,14.58,4.85,0.016,0.81,37.09,5,0.1236,0.7359
2020-04-13,affiliate,1341.42,69188,921,94,6504.58,14.27,4.85,0.0133,1.46,58.39,6,0.1013,0.5445
2020-04-14,affiliate,912.98,73597,1172,53,4757.41,17.23,5.21,0.0159,0.78,55.17,4,0.1733,0.7709
2020-04-15,affiliate,795.42,66648,1037,47,3194.62,16.92,4.02,0.0156,0.77,48.48,6,0.0957,0.6524
2020-04-16,affiliate,838.93,65623,972,55,4432.17,15.25,5.28,0.0148,0.86,48.68,5,0.0819,0.7096
2020-04-17,affiliate,1165.35,93367,1261,74,6711.3,15.75,5.76,0.0135,0.92,43.19,6,0.1024,0.5868
2020-04-18,affiliate,929.95,70197,1138,59,4532.54,15.76,4.87,0.0162,0.82,48.68,4,0.1104,0.7563
2020-04-19,affiliate,731.86,47797,619,45,4122.79,16.26,5.63,0.013,1.18,52.05,3,0.0335,0.6533
2020-04-20,affiliate,1124.52,72575,901,67,6297.32,16.78,5.6,0.0124,1.25,50.92,4,0.0954,0.5634
2020-04-21,affiliate,965.87,59485,972,67,5241.57,14.42,5.43,0.0163,0.99,54.11,7,0.1542,0.7211
2020-04-22,affiliate,930.99,67598,863,60,3587.07,15.52,3.85,0.0128,1.08,44.85,7,0.1106,0.6106
2020-04-23,affiliate,1307.69,115468,1709,83,6817.05,15.76,5.21,0.0148,0.77,47.04,4,0.105,0.7105
2020-04-24,affiliate,1140.24,62244,833,83,5440.7,13.74,4.77,0.0134,1.37,50.75,4,0.1148,0.5089
2020-04-25,affiliate,727.95,42015,731,52,3763.12,14.0,5.17,0.0174,1.0,60.92,7,0.0791,0.4649
2020-04-26,affiliate,824.82,75673,1139,48,4275.41,17.18,5.18,0.0151,0.72,52.56,3,0.1188,0.5627
2020-04-27,affiliate,1047.05,75403,1034,63,5185.93,16.62,4.95,0.0137,1.01,48.26,6,0.1411,0.7121
2020-04-28,affiliate,998.09,79505,1471,67,5288.02,14.9,5.3,0.0185,0.68,54.47,5,0.132,0.4412
2020-04-29,affiliate,898.18,80446,1209,68,4719.92,13.21,5.25,0.015,0.74,54.21,3,0.09,0.6084
2020-04-30,affiliate,931.46,50549,790,58,4729.5,16.06,5.08,0.0156,1.18,54.02,6,0.0769,0.6441
2020-05-01,affiliate,1047.21,81167,1244,68,4728.82,15.4,4.52,0.0153,0.84,47.47,5,0.0716,0.7588
2020-05-02,affiliate,849.66,61490,957,58,4157.95,14.65,4.89,0.0156,0.89,52.66,6,0.0838,0.6679
2020-05-03,affiliate,780.78,52623,908,49,3662.79,15.93,4.69,0.0173,0.86,49.67,3,0.1279,0.573
2020-05-04,affiliate,1358.72,72259,1172,92,7687.46,14.77,5.66,0.0162,1.16,53.86,5,0.1139,0.6494
2020-05-05,affiliate,763.7,56562,770,59,3625.08,12.94,4.75,0.0136,0.99,51.1,3,0.096,0.6415
2020-05-06,affiliate,1128.29,85608,1200,70,6652.07,16.12,5.9,0.014,0.94,57.87,7,0.0589,0.6143
2020-05-07,affiliate,1070.96,76897,1144,81,6356.0,13.22,5.93,0.0149,0.94,44.58,7,0.1479,0.6043
2020-05-08,affiliate,1063.35,48191,729,71,5170.24,14.98,4.86,0.0151,1.46,48.27,4,0.1524,0.4916
2020-05-09,affiliate,838.36,55543,853,58,4449.84,14.45,5.31,0.0154,0.98,46.61,5,0.1462,0.5168
2020-05-10,affiliate,838.07,56131,842,51,4483.54,16.43,5.35,0.015,1.0,48.21,4,0.1123,0.58
2020-05-11,affiliate,869.02,48958,560,58,4391.98,14.98,5.05,0.0114,1.55,55.97,4,0.1072,0.8109
2020-05-12,affiliate,1091.8,57501,858,78,5882.85,14.0,5.39,0.0149,1.27,44.72,7,0.1192,0.5804
2020-05-13,affiliate,1268.34,124461,1938,77,6429.88,16.47,5.07,0.0156,0.65,52.55,3,0.0701,0.5967
2020-05-14,affiliate,914.3,48006,729,85,4068.63,10.76,4.45,0.0152,1.25,50.34,7,0.0796,0.5122
2020-05-15,affiliate,1236.67,93205,1250,71,6354.65,17.42,5.14,0.0134,0.99,35.05,7,0.1173,0.6893
2020-05-16,affiliate,776.11,59415,867,56,3440.81,13.86,4.43,0.0146,0.9,48.87,4,0.137,0.7018
2020-05-17,affiliate,755.51,52258,842,50,3938.28,15.11,5.21,0.0161,0.9,44.98,6,0.032,0.3855
2020-05-18,affiliate,1157.28,102590,1501,70,5718.5,16.53,4.94,0.0146,0.77,40.65,7,0.0911,0.4061
2020-05-19,affiliate,893.83,55786,853,55,3808.68,16.25,4.26,0.0153,1.05,52.09,4,0.1138,0.7033
2020-05-20,affiliate,1161.06,99060,1739,75,5778.03,15.48,4.98,0.0176,0.67,51.74,6,0.1199,0.7838
2020-05-21,affiliate,1038.27,56468,825,71,5251.16,14.62,5.06,0.0146,1.26,57.57,7,0.1148,0.5256
2020-05-22,affiliate,1227.37,77818,1245,80,6587.62,15.34,5.37,0.016,0.99,46.46,5,0.0964,0.673
2020-05-23,affiliate,888.59,60647,1017,56,5151.7,15.87,5.8,0.0168,0.87,45.11,3,0.0366,0.5289
2020-05-24,affiliate,712.27,56699,962,45,3266.38,15.83,4.59,0.017,0.74,52.47,5,0.0545,0.4037
2020-05-25,affiliate,1375.83,91924,1272,93,6186.87,14.79,4.5,0.0138,1.08,51.04,6,0.1237,0.5571
2020-05-26,affiliate,1252.01,85418,1189,78,6624.57,16.05,5.29,0.0139,1.05,52.4,6,0.0567,0.471
2020-05-27,affiliate,1214.41,61786,1155,81,5442.86,14.99,4.48,0.0187,1.05,48.2,3,0.1313,0.8009
2020-05-28,affiliate,1073.4,76087,1269,69,6339.59,15.56,5.91,0.0167,0.85,47.15,6,0.0909,0.5231
2020-05-29,affiliate,958.97,67377,843,60,4332.17,15.98,4.52,0.0125,1.14,46.41,3,0.0932,0.6122
2020-05-30,affiliate,845.01,39145,591,54,3793.84,15.65,4.49,0.0151,1.43,50.71,3,0.0865,0.634
2020-05-31,affiliate,770.64,62610,1010,56,4154.18,13.76,5.39,0.0161,0.76,54.21,3,0.1182,0.5773
2020-06-01,affiliate,912.04,52558,685,58,4471.76,15.72,4.9,0.013,1.33,50.49,5,0.0772,0.5891
2020-06-02,affiliate,1122.25,67041,1010,82,5248.34,13.69,4.68,0.0151,1.11,51.57,4,0.0706,0.5455
2020-06-03,affiliate,1109.47,76054,1026,68,5639.32,16.32,5.08,0.0135,1.08,42.63,7,0.1274,0.4514
2020-06-04,affiliate,1397.17,99518,1523,88,6986.27,15.88,5.0,0.0153,0.92,49.75,5,0.0885,0.7763
2020-06-05,affiliate,1050.49,52421,840,66,4951.1,15.92,4.71,0.016,1.25,48.88,3,0.1091,0.5539
2020-06-06,affiliate,574.92,52072,867,37,3106.13,15.54,5.4,0.0167,0.66,47.0,3,0.1256,0.4787
2020-06-07,affiliate,863.55,74623,1213,66,4243.14,13.08,4.91,0.0163,0.71,53.87,5,0.0779,0.5871
2020-06-08,affiliate,891.63,42034,707,65,4494.8,13.72,5.04,0.0168,1.26,54.23,6,0.1168,0.5686
2020-06-09,affiliate,896.41,83047,1343,68,4216.98,13.18,4.7,0.0162,0.67,50.6,4,0.1491,0.7504
2020-06-10,affiliate,1156.96,75320,1009,70,5813.12,16.53,5.02,0.0134,1.15,56.3,3,0.0783,0.5208
2020-06-11,affiliate,1096.7,67614,1021,64,5247.55,17.14,4.78,0.0151,1.07,53.42,3,0.0679,0.6473
2020-06-12,affiliate,969.3,50681,696,61,5727.3,15.89,5.91,0.0137,1.39,49.4,5,0.0938,0.7225
2020-06-13,affiliate,804.53,72186,1000,49,4056.05,16.42,5.04,0.0139,0.8,50.65,7,0.0504,0.5152
2020-06-14,affiliate,865.1,71246,1189,48,4045.54,18.02,4.68,0.0167,0.73,41.59,6,0.1342,0.5876
2020-06-15,affiliate,1091.66,74898,1207,75,5352.85,14.56,4.9,0.0161,0.9,52.68,6,0.0995,0.5144
2020-06-16,affiliate,1090.93,53196,886,85,5385.26,12.83,4.94,0.0167,1.23,53.44,6,0.072,0.5436
2020-06-17,affiliate,1253.74,70243,1061,91,6495.23,13.78,5.18,0.0151,1.18,55.94,7,0.1173,0.4728
2020-06-18,affiliate,1242.89,94018,1618,90,6346.94,13.81,5.11,0.0172,0.77,47.88,3,0.0726,0.5659
2020-06-19,affiliate,1047.17,59890,938,71,4640.91,14.75,4.43,0.0157,1.12,51.76,7,0.0422,0.5974
2020-06-20,affiliate,790.0,50622,793,49,4373.22,16.12,5.54,0.0157,1.0,51.11,4,0.1011,0.5088
2020-06-21,affiliate,856.8,84928,1274,69,4485.94,12.42,5.24,0.015,0.67,45.62,7,0.1053,0.589
2020-06-22,affiliate,1146.19,82228,1202,93,5760.59,12.32,5.03,0.0146,0.95,51.51,6,0.0672,0.6756
2020-06-23,affiliate,1180.38,78297,1016,66,6335.83,17.88,5.37,0.013,1.16,48.68,4,0.0671,0.6842
2020-06-24,affiliate,1274.49,110517,1447,86,5297.89,14.82,4.16,0.0131,0.88,58.47,3,0.0661,0.6479
2020-06-25,affiliate,881.08,53004,572,53,4492.73,16.62,5.1,0.0108,1.54,51.2,6,0.1429,0.5469
2020-06-26,affiliate,1180.04,104750,1750,74,4843.29,15.95,4.1,0.0167,0.67,57.42,7,0.1478,0.423
2020-06-27,affiliate,722.89,53700,794,43,3618.13,16.81,5.01,0.0148,0.91,47.66,3,0.0847,0.7771
2020-06-28,affiliate,556.94,58557,748,35,2450.73,15.91,4.4,0.0128,0.74,46.58,3,0.0887,0.6432
2020-06-29,affiliate,914.78,53008,865,57,4208.42,16.05,4.6,0.0163,1.06,56.58,6,0.0669,0.5691
2020-06-30,affiliate,1212.82,72431,1016,68,6349.78,17.84,5.24,0.014,1.19,55.01,3,0.1195,0.4752
2020-07-01,affiliate,692.19,64058,848,44,2987.44,15.73,4.32,0.0132,0.82,50.18,3,0.1089,0.6323
2020-07-02,affiliate,1163.28,99635,1452,70,5909.99,16.62,5.08,0.0146,0.8,52.15,6,0.0719,0.7921
2020-07-03,affiliate,1284.89,67423,1242,87,6102.05,14.77,4.75,0.0184,1.03,54.28,5,0.13,0.5217
2020-07-04,affiliate,756.43,54077,931,60,3811.44,12.61,5.04,0.0172,0.81,54.68,6,0.1412,0.7136
2020-07-05,affiliate,642.89,37638,504,47,3095.46,13.68,4.81,0.0134,1.28,54.76,5,0.0888,0.6918
2020-07-06,affiliate,1232.29,98897,1280,86,5228.65,14.33,4.24,0.0129,0.96,44.77,4,0.1155,0.5441
2020-07-07,affiliate,856.08,47072,677,47,4339.53,18.21,5.07,0.0144,1.26,50.21,5,0.0974,0.4663
2020-07-08,affiliate,1159.2,81400,1117,84,6788.27,13.8,5.86,0.0137,1.04,48.98,4,0.0903,0.5973
2020-07-09,affiliate,859.08,42572,624,64,3748.28,13.42,4.36,0.0147,1.38,46.84,6,0.1114,0.66
2020-07-10,affiliate,1016.37,90416,1538,50,5857.14,20.33,5.76,0.017,0.66,60.12,7,0.1617,0.6845
2020-07-11,affiliate,754.68,51876,731,50,3549.78,15.09,4.7,0.0141,1.03,46.94,7,0.0905,0.4377
2020-07-12,affiliate,757.0,45855,697,52,3962.59,14.56,5.23,0.0152,1.09,58.88,7,0.1122,0.7474
2020-07-13,affiliate,1300.2,101826,1350,78,7357.74,16.67,5.66,0.0133,0.96,54.62,6,0.1149,0.6745
2020-07-14,affiliate,1108.67,69311,860,70,4989.95,15.84,4.5,0.0124,1.29,54.95,7,0.0773,0.5983
2020-07-15,affiliate,1009.92,58132,690,77,5259.64,13.12,5.21,0.0119,1.46,46.59,7,0.0795,0.6794
2020-07-16,affiliate,569.59,42661,572,32,2514.13,17.8,4.41,0.0134,1.0,48.91,6,0.1206,0.6482
2020-07-17,affiliate,1250.97,73413,1132,76,6039.9,16.46,4.83,0.0154,1.11,53.23,5,0.1366,0.6738
2020-07-18,affiliate,835.64,62135,1015,52,4174.64,16.07,5.0,0.0163,0.82,50.54,6,0.1598,0.5237
2020-07-19,affiliate,818.53,62318,811,54,4138.12,15.16,5.06,0.013,1.01,47.5,6,0.1335,0.5086
2020-07-20,affiliate,964.83,82298,1060,62,4782.17,15.56,4.96,0.0129,0.91,48.25,4,0.0814,0.6078
2020-07-21,affiliate,871.71,76590,1230,59,5054.76,14.77,5.8,0.0161,0.71,51.7,5,0.1197,0.5738
2020-07-22,affiliate,843.23,57238,918,52,3927.85,16.22,4.66,0.016,0.92,41.65,6,0.0978,0.4754
2020-07-23,affiliate,1080.82,52592,688,70,5457.67,15.44,5.05,0.0131,1.57,51.06,6,0.0679,0.6451
2020-07-24,affiliate,1044.7,60053,861,69,4759.06,15.14,4.56,0.0143,1.21,50.53,4,0.0891,0.6323
2020-07-25,affiliate,898.53,44552,545,59,4328.51,15.23,4.82,0.0122,1.65,51.19,5,0.1039,0.4898
2020-07-26,affiliate,875.51,58696,922,51,3725.0,17.17,4.25,0.0157,0.95,43.3,4,0.1459,0.7055
2020-07-27,affiliate,929.63,54044,963,58,5310.46,16.03,5.71,0.0178,0.97,53.5,5,0.1173,0.8291
2020-07-28,affiliate,899.32,66204,1043,61,3810.79,14.74,4.24,0.0158,0.86,45.77,4,0.0745,0.6216
2020-07-29,affiliate,1111.29,122667,1847,78,5486.23,14.25,4.94,0.0151,0.6,48.24,7,0.1241,0.4194
2020-07-30,affiliate,1318.78,69044,929,103,6577.34,12.8,4.99,0.0135,1.42,55.25,7,0.1535,0.5707
2020-07-31,affiliate,1037.84,65739,1020,61,6537.36,17.01,6.3,0.0155,1.02,44.3,6,0.1091,0.5749
2020-08-01,affiliate,661.48,41307,649,42,3203.03,15.75,4.84,0.0157,1.02,50.87,4,0.1087,0.5166
2020-08-02,affiliate,775.16,60409,794,45,4087.93,17.23,5.27,0.0131,0.98,48.01,7,0.0873,0.6822
2020-08-03,affiliate,1303.54,117386,1708,78,6700.06,16.71,5.14,0.0146,0.76,55.31,7,0.1061,0.4379
2020-08-04,affiliate,1154.85,101438,1342,84,6862.01,13.75,5.94,0.0132,0.86,54.16,6,0.0816,0.3942
2020-08-05,affiliate,1107.24,88833,968,65,4134.49,17.03,3.73,0.0109,1.14,55.64,3,0.089,0.5977
2020-08-06,affiliate,1282.21,129972,1741,93,7477.92,13.79,5.83,0.0134,0.74,49.52,3,0.1103,0.6205
2020-08-07,affiliate,1012.6,77644,879,64,5088.66,15.82,5.03,0.0113,1.15,49.33,6,0.1092,0.647
2020-08-08,affiliate,770.38,40531,591,52,3662.72,14.82,4.75,0.0146,1.3,49.81,3,0.1128,0.5763
2020-08-09,affiliate,978.98,55741,866,62,5164.87,15.79,5.28,0.0155,1.13,51.04,7,0.104,0.5693
2020-08-10,affiliate,1009.62,61069,780,64,5486.01,15.78,5.43,0.0128,1.29,43.61,4,0.0704,0.6261
2020-08-11,affiliate,1203.68,85643,1189,74,6526.94,16.27,5.42,0.0139,1.01,56.87,4,0.1394,0.5831
2020-08-12,affiliate,1067.31,70679,849,65,4564.52,16.42,4.28,0.012,1.26,44.73,3,0.0857,0.6341
